interval_id,interval_start_step_idx,interval_end_step_idx,interval_t_start_sec,interval_n_steps,L_e_pendulum_angle,L_e_cart_position,L_edot_pendulum_angle,L_edot_cart_position,L_delta_u_pendulum_angle,L_delta_u_cart_position,principal_gate_L_edot_pendulum_angle,principal_gate_L_edot_cart_position,principal_gate_L_delta_u_pendulum_angle,principal_gate_L_delta_u_cart_position,principal_contribution_L_edot_pendulum_angle,principal_contribution_L_edot_cart_position,principal_contribution_L_delta_u_pendulum_angle,principal_contribution_L_delta_u_cart_position,error_pendulum_angle_mean_squared,error_cart_position_mean_squared,derivative_error_pendulum_angle_mean_squared,derivative_error_cart_position_mean_squared,delta_u_eff_pendulum_angle_mean_squared,delta_u_eff_cart_position_mean_squared,integral_error_pendulum_angle_mean_squared,integral_error_cart_position_mean_squared,action_kp_pendulum_angle,action_ki_pendulum_angle,action_kd_pendulum_angle,action_kp_cart_position,action_ki_cart_position,action_kd_cart_position,global_interval_reward,reward_kp_pendulum_angle,reward_ki_pendulum_angle,reward_kd_pendulum_angle,reward_kp_cart_position,reward_ki_cart_position,reward_kd_cart_position,extra_penalty_instantaneous_pendulum_angle,extra_penalty_instantaneous_cart_position,extra_penalty_pendulum_angle,extra_penalty_cart_position,extra_bonus_goal_pendulum_angle,extra_bonus_goal_cart_position,extra_bonus_band_pendulum_angle,extra_bonus_band_cart_position,extra_conditional_dynamic_penalty_pendulum_angle,extra_conditional_dynamic_penalty_cart_position,extra_conditional_dynamic_incentive_pendulum_angle,extra_conditional_dynamic_incentive_cart_position,extra_conditional_dynamic_incentive_tracking_pendulum_angle,extra_conditional_dynamic_incentive_tracking_cart_position,extra_conditional_dynamic_incentive_direction_pendulum_angle,extra_conditional_dynamic_incentive_direction_cart_position,extra_conditional_dynamic_incentive_effort_pendulum_angle,extra_conditional_dynamic_incentive_effort_cart_position,extra_total_pendulum_angle,extra_total_cart_position,assigned_reward_pendulum_angle,principal_loop_pendulum_angle,assigned_reward_cart_position,principal_loop_cart_position,mean_abs_error_pendulum_angle,mean_abs_control_action_pendulum_angle,mean_abs_error_cart_position,mean_abs_control_action_cart_position,principal_total_rebuilt,extras_total_rebuilt,global_reward_rebuilt
0.0,0.0,19.0,0.0,20.0,0.14994774308352926,1.9112674564609384e-05,0.002761392389614795,0.003052099946104937,0.0016206806016809052,4.907315480323661e-08,1.0,1.0,,,-1.098033926281161e-06,-1.341393981677541e-06,,,,,,,0.0016206806016809052,4.907315480323661e-08,,,2.0,0.0,0.0,2.0,2.0,1.0,-0.12098838845097115,-0.12098680209220837,-0.12098680209220837,-0.12098680209220837,-1.5863587628039966e-06,-1.5863587628039966e-06,-1.5863587628039966e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12098680209220837,-0.12098680209220837,-1.5863587628039966e-06,-1.5863587628039966e-06,0.14244805316618242,0.17459909165375737,1.2002591922954941e-05,0.0018619816751086857,-0.12098838845097118,0.0,-0.12098838845097118
1.0,20.0,39.0,0.02,20.0,0.15008410919652868,0.0001142264685308942,0.006120818646089133,0.009063526518076534,4.00830533859347e-05,8.022595694366076e-08,1.0,1.0,,,-5.394694709108805e-06,-1.1828367338502233e-05,,,,,,,4.00830533859347e-05,8.022595694366076e-08,,,2.0,0.0,0.0,2.0,2.0,1.0,-0.1217377479330176,-0.12172364830714151,-0.12172364830714151,-0.12172364830714151,-1.4099625876107246e-05,-1.4099625876107246e-05,-1.4099625876107246e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12172364830714151,-0.12172364830714151,-1.4099625876107246e-05,-1.4099625876107246e-05,0.15007496896321224,0.21673087541326716,9.923362893643484e-05,0.006941926225280721,-0.12173774793301761,0.0,-0.12173774793301761
2.0,40.0,59.0,0.04,20.0,0.15028929740837005,0.0003175342965964296,0.007107157177948583,0.016377031163985555,4.293078614432242e-05,1.0849397840512164e-07,1.0,1.0,,,-7.273351718577459e-06,-3.8612508277786615e-05,,,,,,,4.293078614432242e-05,1.0849397840512164e-07,,,2.0,2.0,0.0,0.0,2.0,1.0,-0.12265258170575671,-0.12260611455398676,-0.12260611455398676,-0.12260611455398676,-4.646715176995997e-05,-4.646715176995997e-05,-4.646715176995997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12260611455398676,-0.12260611455398676,-4.646715176995997e-05,-4.646715176995997e-05,0.15027862553476606,0.2492035969149601,0.00029536291156935236,0.013022478630383388,-0.12265258170575673,0.0,-0.12265258170575673
3.0,60.0,79.0,0.06,20.0,0.15048475507440837,0.0006472099909887,0.005654305008723377,0.02474021931419314,4.639335076752972e-05,1.3781598673184425e-07,1.0,1.0,,,-4.603715310160794e-06,-8.809076152500594e-05,,,,,,,4.639335076752972e-05,1.3781598673184425e-07,,,2.0,0.0,2.0,0.0,1.0,1.0,-0.1236258105750309,-0.12351858037410322,-0.12351858037410322,-0.12351858037410322,-0.00010723020092766599,-0.00010723020092766599,-0.00010723020092766599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12351858037410322,-0.12351858037410322,-0.00010723020092766599,-0.00010723020092766599,0.1504763548558424,0.28075535034149673,0.0006172842072984186,0.019975240296627464,-0.12362581057503089,0.0,-0.12362581057503089
4.0,80.0,99.0,0.08,20.0,0.1506252940486467,0.0011124685050594104,0.004421284177211609,0.03294431467905871,4.1903654270749586e-05,1.2204164112261593e-07,1.0,1.0,,,-2.8148270222150275e-06,-0.00015613465201504972,,,,,,,4.1903654270749586e-05,1.2204164112261593e-07,,,0.0,2.0,0.0,2.0,1.0,1.0,-0.1233657471914828,-0.12317176745078325,-0.12317176745078325,-0.12317176745078325,-0.00019397974069956358,-0.00019397974069956358,-0.00019397974069956358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12317176745078325,-0.12317176745078325,-0.00019397974069956358,-0.00019397974069956358,0.15061866390643203,0.2558332856639946,0.0010756553579180038,0.0273254527266637,-0.12336574719148281,0.0,-0.12336574719148281
5.0,100.0,119.0,0.1,20.0,0.15075804512224614,0.001703968652476807,0.004100298923777955,0.04088615081306925,4.120898173171426e-05,1.606642505312925e-07,1.0,1.0,,,-2.4209563498889252e-06,-0.00024035973040041904,,,,,,,4.120898173171426e-05,1.606642505312925e-07,,,2.0,0.0,2.0,2.0,2.0,1.0,-0.12428658404570649,-0.12398008418325508,-0.12398008418325508,-0.12398008418325508,-0.0003064998624514059,-0.0003064998624514059,-0.0003064998624514059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12398008418325508,-0.12398008418325508,-0.0003064998624514059,-0.0003064998624514059,0.15075192869789866,0.2835321660464428,0.0016607666614303017,0.034732403277548486,-0.12428658404570649,0.0,-0.12428658404570649
6.0,120.0,139.0,0.12000000000000001,20.0,0.1508713207142905,0.0024244402182577525,0.004045826620996591,0.04869187440716023,3.7770470458467647e-05,1.0851908559574184e-07,1.0,1.0,,,-2.35705995478952e-06,-0.0003406819360324853,,,,,,,3.7770470458467647e-05,1.0851908559574184e-07,,,0.0,2.0,0.0,0.0,0.0,1.0,-0.1240780362964311,-0.12363316093757054,-0.12363316093757054,-0.12363316093757054,-0.0004448753588605791,-0.0004448753588605791,-0.0004448753588605791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12363316093757054,-0.12363316093757054,-0.0004448753588605791,-0.0004448753588605791,0.1508652904686171,0.26071080005576286,0.002375031041780218,0.04165833420577229,-0.12407803629643112,0.0,-0.12407803629643112
7.0,140.0,159.0,0.14,20.0,0.151007510370081,0.003265051663194251,0.004659046596233643,0.056260288493837435,3.812527701282406e-05,1.435370864946646e-07,1.0,1.0,,,-3.1257059224376603e-06,-0.000454495738294689,,,,,,,3.812527701282406e-05,1.435370864946646e-07,,,2.0,0.0,2.0,1.0,1.0,1.0,-0.12506146119286604,-0.12444936783065307,-0.12444936783065307,-0.12444936783065307,-0.0006120933622129731,-0.0006120933622129731,-0.0006120933622129731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12444936783065307,-0.12444936783065307,-0.0006120933622129731,-0.0006120933622129731,0.15100052124436333,0.2881362452989805,0.0032096897113289445,0.04874979607334312,-0.12506146119286604,0.0,-0.12506146119286604
8.0,160.0,179.0,0.16,20.0,0.1511534405936935,0.004228726330672553,0.00561009381427521,0.06370847687702778,3.542008698124211e-05,1.8079415637618584e-07,1.0,1.0,,,-4.532005601047828e-06,-0.0005823330931066017,,,,,,,3.542008698124211e-05,1.8079415637618584e-07,,,0.0,2.0,0.0,2.0,1.0,1.0,-0.12499287371623538,-0.12417733999296382,-0.12417733999296382,-0.12417733999296382,-0.0008155337232715665,-0.0008155337232715665,-0.0008155337232715665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12417733999296382,-0.12417733999296382,-0.0008155337232715665,-0.0008155337232715665,0.1511450935926236,0.2668452118033058,0.004167511073228769,0.056831836552191387,-0.12499287371623538,0.0,-0.12499287371623538
9.0,180.0,199.0,0.18,20.0,0.1513513412365904,0.0053066385165530415,0.007196204253941124,0.07089666940600203,3.676215841339109e-05,2.3299870786869095e-07,1.0,1.0,,,-7.4567436751671326e-06,-0.0007205282620482567,,,,,,,3.676215841339109e-05,2.3299870786869095e-07,,,2.0,0.0,2.0,2.0,0.0,1.0,-0.12616043101655464,-0.12510673100239295,-0.12510673100239295,-0.12510673100239295,-0.0010537000141616914,-0.0010537000141616914,-0.0010537000141616914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12510673100239295,-0.12510673100239295,-0.0010537000141616914,-0.0010537000141616914,0.15134053599930802,0.294641738824714,0.0052398136576848,0.06517827320026806,-0.12616043101655464,0.0,-0.12616043101655464
